Neighborhood,Year,Median Rent,Median Income,RTI (%)
St. George,2012,1114.41473,65242.44435,20.49735703993439
Williamsburg/Greenpoint,2012,1415.29514,58206.47178,29.178098518308783
Bushwick,2012,1227.8235,40534.37685,36.349102033870295
Bedford Stuyvesant,2012,1094.74179,44092.86627,29.79371175272884
Fort Greene/Brooklyn Hts,2012,1695.34536,87649.93398,23.210678429766
Park Slope,2012,1883.97423,100847.01148,22.417809341314555
Crown Heights North,2012,1121.35813,48256.5882,27.8848921192485
Brownsville,2012,991.74811,32820.26614,36.26106281172283
East New York,2012,1079.69776,38979.0566,33.23931939389215
Canarsie,2012,1283.37065,71183.67514,21.634802881013485
East Flatbush,2012,1171.11912,56264.63593,24.977375588965266
Crown Heights South,2012,1179.21975,44670.32521,31.677935930567624
Sunset Park,2012,1305.35807,47932.56315,32.67986481544958
Bay Ridge,2012,1326.18825,60643.60307,26.242271557694895
Borough Park,2012,1307.67253,43760.74059,35.85878609098741
Flatbush/Midwood,2012,1237.08136,47526.3746,31.235238212341986
Sheepshead Bay,2012,1226.66627,54785.69301,26.868319868315194
Bensonhurst,2012,1250.96815,57883.60396,25.93414503073039
Coney Island,2012,943.14435,34664.89447,32.64897347313344
Astoria,2012,1437.28255,60009.43975,28.74112918209672
Jackson Heights,2012,1373.63478,49896.38641,33.03569365635751
Flushing,2012,1401.40835,60547.55279,27.77469843963284
Bayside,2012,1668.72902,83439.92276,23.999001410389127
Queens Village,2012,1416.45237,84476.80292,20.120823530806035
Fresh Meadows/Briarwood,2012,1375.94924,74194.79366,22.25410984450469
Elmhurst/Corona,2012,1373.63478,48217.2423,34.18614705802037
Rego Park/Forest Hills,2012,1509.03096,73106.99527,24.769683739732233
Sunnyside/Woodside,2012,1493.98694,57683.40277,31.07972556938669
Ridgewood/Glendale,2012,1303.0436,58866.09421,26.56286850664489
Woodhaven,2012,1418.76684,64395.35029,26.438558068755246
Jamaica/St. Albans,2012,1240.55306,58697.13829,25.361775980373775
Howard Beach,2012,1390.99326,69284.65688,24.091797335317914
The Rockaways,2012,1064.65374,56629.16411,22.560539398362668
Bronx,2012,1053.08142,37563.76146,33.64140477107587
Brooklyn,2012,1226.66627,52341.61833,28.12292724155822
Manhattan,2012,1574.9932,77649.13217,24.34015406459629
Queens,2012,1373.63478,63315.65252,26.03403219258175
Staten Island,2012,1136.40215,82120.6779,16.60583685951282
New York City,2012,1266.01217,58897.33948,25.794282346418818
Riverdale,2013,1297.44005,68985.115,22.56904348133651
Williamsbridge,2013,1223.4632,51935.15942,28.269015757264036
Throgs Neck,2013,1205.25352,63801.04534,22.668973780798556
